name,metric,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7
score_jaccard_0,jaccard,sentence_to_doc,get_tokens,get_token_text,,,,,
score_cosine_0,cosine,sentence_to_doc,get_tokens,get_token_text,,,,,
score_euclidean_0,euclidean,sentence_to_doc,get_tokens,get_token_text,,,,,
score_manhattan_0,manhattan,sentence_to_doc,get_tokens,get_token_text,,,,,
score_jaccard_1,jaccard,sentence_to_doc,get_tokens,get_token_text,get_2grams,,,,
score_cosine_1,cosine,sentence_to_doc,get_tokens,get_token_text,get_2grams,,,,
score_euclidean_1,euclidean,sentence_to_doc,get_tokens,get_token_text,get_2grams,,,,
score_manhattan_1,manhattan,sentence_to_doc,get_tokens,get_token_text,get_2grams,,,,
score_jaccard_2,jaccard,sentence_to_doc,get_tokens,get_token_text,get_3grams,,,,
score_cosine_2,cosine,sentence_to_doc,get_tokens,get_token_text,get_3grams,,,,
score_euclidean_2,euclidean,sentence_to_doc,get_tokens,get_token_text,get_3grams,,,,
score_manhattan_2,manhattan,sentence_to_doc,get_tokens,get_token_text,get_3grams,,,,
score_jaccard_3,jaccard,sentence_to_doc,get_tokens,get_token_text,get_4grams,,,,
score_cosine_3,cosine,sentence_to_doc,get_tokens,get_token_text,get_4grams,,,,
score_euclidean_3,euclidean,sentence_to_doc,get_tokens,get_token_text,get_4grams,,,,
score_manhattan_3,manhattan,sentence_to_doc,get_tokens,get_token_text,get_4grams,,,,
score_jaccard_4,jaccard,sentence_to_doc,get_tokens,lemmatize_tokens,,,,,
score_cosine_4,cosine,sentence_to_doc,get_tokens,lemmatize_tokens,,,,,
score_euclidean_4,euclidean,sentence_to_doc,get_tokens,lemmatize_tokens,,,,,
score_manhattan_4,manhattan,sentence_to_doc,get_tokens,lemmatize_tokens,,,,,
score_jaccard_5,jaccard,sentence_to_doc,get_tokens,lemmatize_tokens,get_2grams,,,,
score_cosine_5,cosine,sentence_to_doc,get_tokens,lemmatize_tokens,get_2grams,,,,
score_euclidean_5,euclidean,sentence_to_doc,get_tokens,lemmatize_tokens,get_2grams,,,,
score_manhattan_5,manhattan,sentence_to_doc,get_tokens,lemmatize_tokens,get_2grams,,,,
score_jaccard_6,jaccard,sentence_to_doc,get_tokens,lemmatize_tokens,get_3grams,,,,
score_cosine_6,cosine,sentence_to_doc,get_tokens,lemmatize_tokens,get_3grams,,,,
score_euclidean_6,euclidean,sentence_to_doc,get_tokens,lemmatize_tokens,get_3grams,,,,
score_manhattan_6,manhattan,sentence_to_doc,get_tokens,lemmatize_tokens,get_3grams,,,,
score_jaccard_7,jaccard,sentence_to_doc,get_tokens,lemmatize_tokens,get_4grams,,,,
score_cosine_7,cosine,sentence_to_doc,get_tokens,lemmatize_tokens,get_4grams,,,,
score_euclidean_7,euclidean,sentence_to_doc,get_tokens,lemmatize_tokens,get_4grams,,,,
score_manhattan_7,manhattan,sentence_to_doc,get_tokens,lemmatize_tokens,get_4grams,,,,
score_jaccard_8,jaccard,sentence_to_doc,get_tokens,get_synsets,,,,,
score_cosine_8,cosine,sentence_to_doc,get_tokens,get_synsets,,,,,
score_euclidean_8,euclidean,sentence_to_doc,get_tokens,get_synsets,,,,,
score_manhattan_8,manhattan,sentence_to_doc,get_tokens,get_synsets,,,,,
score_jaccard_9,jaccard,sentence_to_doc,get_tokens,get_synsets,get_2grams,,,,
score_cosine_9,cosine,sentence_to_doc,get_tokens,get_synsets,get_2grams,,,,
score_euclidean_9,euclidean,sentence_to_doc,get_tokens,get_synsets,get_2grams,,,,
score_manhattan_9,manhattan,sentence_to_doc,get_tokens,get_synsets,get_2grams,,,,
score_jaccard_10,jaccard,sentence_to_doc,get_tokens,get_synsets,get_3grams,,,,
score_cosine_10,cosine,sentence_to_doc,get_tokens,get_synsets,get_3grams,,,,
score_euclidean_10,euclidean,sentence_to_doc,get_tokens,get_synsets,get_3grams,,,,
score_manhattan_10,manhattan,sentence_to_doc,get_tokens,get_synsets,get_3grams,,,,
score_jaccard_11,jaccard,sentence_to_doc,get_tokens,get_synsets,get_4grams,,,,
score_cosine_11,cosine,sentence_to_doc,get_tokens,get_synsets,get_4grams,,,,
score_euclidean_11,euclidean,sentence_to_doc,get_tokens,get_synsets,get_4grams,,,,
score_manhattan_11,manhattan,sentence_to_doc,get_tokens,get_synsets,get_4grams,,,,
score_jaccard_12,jaccard,sentence_to_doc,get_tokens,get_pos_tags,,,,,
score_cosine_12,cosine,sentence_to_doc,get_tokens,get_pos_tags,,,,,
score_euclidean_12,euclidean,sentence_to_doc,get_tokens,get_pos_tags,,,,,
score_manhattan_12,manhattan,sentence_to_doc,get_tokens,get_pos_tags,,,,,
score_jaccard_13,jaccard,sentence_to_doc,get_tokens,get_pos_tags,get_2grams,,,,
score_cosine_13,cosine,sentence_to_doc,get_tokens,get_pos_tags,get_2grams,,,,
score_euclidean_13,euclidean,sentence_to_doc,get_tokens,get_pos_tags,get_2grams,,,,
score_manhattan_13,manhattan,sentence_to_doc,get_tokens,get_pos_tags,get_2grams,,,,
score_jaccard_14,jaccard,sentence_to_doc,get_tokens,get_pos_tags,get_3grams,,,,
score_cosine_14,cosine,sentence_to_doc,get_tokens,get_pos_tags,get_3grams,,,,
score_euclidean_14,euclidean,sentence_to_doc,get_tokens,get_pos_tags,get_3grams,,,,
score_manhattan_14,manhattan,sentence_to_doc,get_tokens,get_pos_tags,get_3grams,,,,
