,metric,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,importance
629,cosine,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_characters,get_2grams,,,0.09543123098396783
628,jaccard,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_characters,get_2grams,,,0.09437811708403156
997,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_characters,get_2grams,,,0.09113343443967331
1001,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_characters,get_3grams,,,0.06183575384240987
1000,jaccard,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_characters,get_3grams,,,0.046701942236253034
624,jaccard,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_characters,,,,0.02614431140133821
996,jaccard,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_characters,get_2grams,,,0.025468738576346614
633,cosine,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_characters,get_3grams,,,0.021437792886584796
992,jaccard,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_characters,,,,0.020773378459813047
1005,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_characters,get_4grams,,,0.0182493727904848
132,jaccard,sentence_to_doc,get_tokens,lemmatize_tokens,get_characters,get_2grams,,,,0.016990853800333064
993,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_characters,,,,0.013125967702004488
352,jaccard,sentence_to_doc,chunk_NEs,lemmatize_tokens,get_characters,,,,,0.01059307965075094
580,jaccard,sentence_to_doc,get_tokens,lemmatize_tokens,remove_non_alnum,get_characters,get_2grams,,,0.010291088259531584
577,cosine,sentence_to_doc,get_tokens,lemmatize_tokens,remove_non_alnum,get_characters,,,,0.00963025811056725
576,jaccard,sentence_to_doc,get_tokens,lemmatize_tokens,remove_non_alnum,get_characters,,,,0.008839969398250847
356,jaccard,sentence_to_doc,chunk_NEs,lemmatize_tokens,get_characters,get_2grams,,,,0.008739616204092868
945,cosine,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_characters,,,,0.007300720510942466
129,cosine,sentence_to_doc,get_tokens,lemmatize_tokens,get_characters,,,,,0.006499961728233953
625,cosine,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_characters,,,,0.006356053898571133
353,cosine,sentence_to_doc,chunk_NEs,lemmatize_tokens,get_characters,,,,,0.00578572244636965
1316,jaccard,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,get_2grams,,0.00539740422978489
632,jaccard,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_characters,get_3grams,,,0.005270217135650268
128,jaccard,sentence_to_doc,get_tokens,lemmatize_tokens,get_characters,,,,,0.0050553397169175686
1317,cosine,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,get_2grams,,0.004983641857271618
1008,jaccard,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,remove_non_alnum,,,,0.0042535274208344515
1009,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,remove_non_alnum,,,,0.004004015953300815
1313,cosine,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,,,0.003310472233831309
1004,jaccard,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_characters,get_4grams,,,0.0031473463336982336
357,cosine,sentence_to_doc,chunk_NEs,lemmatize_tokens,get_characters,get_2grams,,,,0.0030214141073873465
379,manhattan,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_3grams,,,,0.0024942859223627627
465,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,,,,,0.002432302129207543
641,cosine,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,remove_non_alnum,,,,0.0024074725553693936
1230,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,get_characters,get_4grams,,,0.0023146354511488117
469,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_2grams,,,,0.0021883362303889518
637,cosine,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_characters,get_4grams,,,0.0021045278297227225
640,jaccard,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,remove_non_alnum,,,,0.0019519142903789395
1226,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,get_characters,get_3grams,,,0.0019067221529908192
133,cosine,sentence_to_doc,get_tokens,lemmatize_tokens,get_characters,get_2grams,,,,0.0019008206119943876
210,euclidean,sentence_to_doc,get_tokens,get_synsets,remove_non_alnum,,,,,0.001875882282542824
948,jaccard,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_characters,get_2grams,,,0.0017819019068247741
383,manhattan,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_4grams,,,,0.0017588322629559121
406,euclidean,sentence_to_doc,chunk_NEs,get_token_text,remove_non_alnum,get_2grams,,,,0.001725325192510916
862,euclidean,sentence_to_doc,get_tokens,get_stopwords,get_synsets,get_characters,get_4grams,,,0.0017199427674140751
858,euclidean,sentence_to_doc,get_tokens,get_stopwords,get_synsets,get_characters,get_3grams,,,0.0016434028830804384
636,jaccard,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_characters,get_4grams,,,0.0016061304589765368
944,jaccard,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_characters,,,,0.001595376987677087
863,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_synsets,get_characters,get_4grams,,,0.0015234214836701322
964,jaccard,sentence_to_doc,chunk_NEs,get_token_text,remove_non_alnum,get_characters,get_2grams,,,0.0014936534533858032
468,jaccard,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_2grams,,,,0.0014827428033005103
342,euclidean,sentence_to_doc,get_tokens,get_stopwords,get_synsets,get_2grams,,,,0.0014547580297449483
1238,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,remove_non_alnum,get_2grams,,,0.0014543648441547661
211,manhattan,sentence_to_doc,get_tokens,get_synsets,remove_non_alnum,,,,,0.0014095199510053354
693,cosine,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,get_characters,get_2grams,,,0.001352367989727836
410,euclidean,sentence_to_doc,chunk_NEs,get_token_text,remove_non_alnum,get_3grams,,,,0.0013520846764932255
593,cosine,sentence_to_doc,get_tokens,get_token_text,remove_non_alnum,get_characters,,,,0.0013344167680978986
1037,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,get_token_text,get_characters,get_4grams,,,0.0012888463354811036
407,manhattan,sentence_to_doc,chunk_NEs,get_token_text,remove_non_alnum,get_2grams,,,,0.0012566521969987153
1065,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,get_characters,get_3grams,,,0.0012422391145899396
1600,jaccard,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,,,0.0012408166596373103
273,cosine,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,,,,,0.0012021305241114353
669,cosine,sentence_to_doc,get_tokens,remove_stopwords,get_token_text,get_characters,get_4grams,,,0.0011790709894093365
375,manhattan,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_2grams,,,,0.0011534167544716024
581,cosine,sentence_to_doc,get_tokens,lemmatize_tokens,remove_non_alnum,get_characters,get_2grams,,,0.0011528343732022175
241,cosine,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,,,,,0.001152264548237009
859,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_synsets,get_characters,get_3grams,,,0.001132934124735366
1060,jaccard,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,get_characters,get_2grams,,,0.001131863308405457
1601,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,,,0.0011277022144876817
11,manhattan,sentence_to_doc,get_tokens,get_pos_tags,get_3grams,,,,,0.0011202587842862178
326,euclidean,sentence_to_doc,get_tokens,get_stopwords,get_token_text,get_2grams,,,,0.0011117411713664513
1628,jaccard,sentence_to_doc,chunk_NEs,remove_stopwords,get_token_text,remove_non_alnum,get_characters,get_4grams,,0.0011066282825407203
977,cosine,sentence_to_doc,chunk_NEs,get_synsets,remove_non_alnum,get_characters,,,,0.0010682384817597573
415,manhattan,sentence_to_doc,chunk_NEs,get_token_text,remove_non_alnum,get_4grams,,,,0.001056477721956868
980,jaccard,sentence_to_doc,chunk_NEs,get_synsets,remove_non_alnum,get_characters,get_2grams,,,0.0010484564006164809
1341,cosine,sentence_to_doc,get_tokens,remove_stopwords,get_token_text,remove_non_alnum,get_characters,get_4grams,,0.001021296772978911
1061,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,get_characters,get_2grams,,,0.001013978108215215
382,euclidean,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_4grams,,,,0.0010039658168453961
949,cosine,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_characters,get_2grams,,,0.0009989146816944071
414,euclidean,sentence_to_doc,chunk_NEs,get_token_text,remove_non_alnum,get_4grams,,,,0.0009956205160229711
550,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,get_token_text,get_2grams,,,,0.000989660966935812
236,jaccard,sentence_to_doc,get_tokens,remove_stopwords,get_pos_tags,get_4grams,,,,0.0009881487460533399
1057,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,get_characters,,,,0.0009692356506730638
237,cosine,sentence_to_doc,get_tokens,remove_stopwords,get_pos_tags,get_4grams,,,,0.0009497706370567306
1227,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,get_characters,get_3grams,,,0.0009491756764058087
244,jaccard,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_2grams,,,,0.0009374739652829075
65,cosine,sentence_to_doc,chunk_NEs,get_pos_tags,,,,,,0.0009280890681031136
987,manhattan,sentence_to_doc,chunk_NEs,get_synsets,remove_non_alnum,get_characters,get_3grams,,,0.0009254827901056237
867,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_synsets,remove_non_alnum,,,,0.0009047290040820881
77,cosine,sentence_to_doc,chunk_NEs,get_pos_tags,get_4grams,,,,,0.0008945001267429209
688,jaccard,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,get_characters,,,,0.0008875826576150101
619,manhattan,sentence_to_doc,get_tokens,get_synsets,remove_non_alnum,get_characters,get_3grams,,,0.0008862968489367848
5,cosine,sentence_to_doc,get_tokens,get_pos_tags,get_2grams,,,,,0.0008860506626543698
1231,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,get_characters,get_4grams,,,0.0008790814816619924
389,cosine,sentence_to_doc,chunk_NEs,get_token_text,get_characters,get_2grams,,,,0.0008764828995262709
403,manhattan,sentence_to_doc,chunk_NEs,get_token_text,remove_non_alnum,,,,,0.0008606519219835696
1175,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,remove_non_alnum,get_2grams,,,0.0008553840232227445
689,cosine,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,get_characters,,,,0.0008492678925220384
612,jaccard,sentence_to_doc,get_tokens,get_synsets,remove_non_alnum,get_characters,get_2grams,,,0.0008449354454519014
